day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6,Exp,SD
Mon,022310,2310,0200,1272.3181,EWR,JFK,BCN,FCO,8.5069,88.4274,5954.2908,16.1981,40949.3132,37465.8015,-74.1687,40.6925,-73.7789,40.6398,-71.2228,41.5461,-5.7607,42.5571,2.0785,41.2971,-3.3725,41.8045,38867.0259,687.6179
Mon,022150,2150,0105,1248.6966,EWR,JFK,MXP,GVA,8.8865,92.7665,6404.7432,3.6735,96974.0582,88356.4789,-74.1687,40.6925,-73.7789,40.6398,-71.5619,41.8974,6.103,46.8182,8.7281,45.6306,8.5431,46.2381,91670.9996,1744.306
Mon,022350,2350,2330,23.183,EWR,JFK,OSL,HEL,8.1268,88.8535,5794.6942,5.9172,54138.5481,49738.8028,-74.1687,40.6925,-73.7789,40.6398,-71.8893,42.6326,2.0041,60.8113,11.1004,60.1939,6.109,60.3172,51806.5311,893.2958
Mon,022030,2030,2145,73.5772,JFK,JFK,BCN,IST,8.2009,91.685,7752.7595,0.76813,113046.1601,103775.3964,-73.7789,40.6398,-73.7789,40.6398,-70.2691,42.5548,21.6072,42.5483,23.9445,41.2971,24.9633,40.9769,106661.0452,1877.681
Mon,020130,0130,2000,1134.5966,BOS,JFK,KEF,KEF,4.964,65.3346,5240.2449,28.7156,57820.2823,54950.0965,-71.0052,42.3643,-73.7789,40.6398,-69.3036,44.0951,-26.767,63.4353,-22.6056,63.985,28.8146,63.985,57133.6729,653.013
Mon,022345,2345,2340,3.9581,JFK,JFK,AGP,MAD,8.1732,88.5861,5998.0526,43.1403,72356.5624,66442.6875,-73.7789,40.6398,-73.7789,40.6398,-70.9064,41.5515,-6.0405,40.3927,-0.46139,36.6749,-3.5668,40.4936,69252.8043,1272.9909
Mon,022330,2330,2205,85,JFK,JFK,DUS,MAN,7.9588,88.9706,5291.949,63.6129,53586.7036,49321.8275,-73.7789,40.6398,-73.7789,40.6398,-71.4252,41.9962,-8.8256,52.544,-6.2701,51.2895,-2.275,53.3537,51577.5901,993.5602
Mon,022128,2128,2140,20.384,IAD,JFK,MUC,MUC,7.7504,88.3473,6663.0866,2.1633,91319.0337,84241.4119,-77.4558,38.9445,-73.7789,40.6398,-70.3893,42.6003,8.864,49.2968,11.7861,48.3538,11.7861,48.3538,86513.4993,1503.3773
Mon,022140,2140,2135,6.8614,EWR,JFK,FCO,NCE,8.6773,89.4581,6649.511,1.2826,70181.8786,64091.9639,-74.1687,40.6925,-73.7789,40.6398,-71.2499,41.8,4.8591,44.5072,12.2508,41.8045,7.2159,43.6584,66638.5891,1187.0562
Mon,022305,2305,2130,97.0406,EWR,JFK,ORY,ORY,8.7723,92.0845,5844.5717,1.0861,40241.4705,36711.359,-74.1687,40.6925,-73.7789,40.6398,-71.4694,41.8719,-0.38703,49.4037,2.3594,48.7253,2.3594,48.7253,38071.6648,710.9622
